run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;111;93.3;8;11,25;15,38;15,12;14,00;18,00;enp0s31f6;757;746
2;111;93.3;8;10,00;14,50;14,50;14,00;15,50;enp0s31f6;728;744
3;112;94.3;8;11,25;14,50;14,50;13,88;15,25;enp0s31f6;560;572
4;112;93.5;8;12,50;12,25;12,50;11,75;13,75;enp0s31f6;676;692
5;112;94.1;8;12,50;22,00;14,00;11,50;22,25;enp0s31f6;752;742
6;111;93.4;8;11,25;14,38;14,75;13,88;16,62;enp0s31f6;640;608
7;111;93.4;8;7,50;14,62;14,62;13,88;17,25;enp0s31f6;635;646
8;111;93.2;8;8,75;14,38;14,62;14,12;15,88;enp0s31f6;595;637
9;111;93.5;8;8,75;14,50;16,75;13,88;25,75;enp0s31f6;704;721
10;111;93.3;8;7,50;14,25;14,75;14,00;17,00;enp0s31f6;631;641
