run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.06;0;13800132;43624;1696544;0;0;1701;13476
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13778836;43724;1701360;0;0;1721;13452
3;0,000016;1;1024KiB;128MiB;128;0.0067;0.04;0.05;0.39;0;13573964;43828;1707724;0;0;1908;13259
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13481340;43964;1712872;0;0;1998;13164
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13562508;44132;1718440;0;0;1918;13237
6;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13529896;44276;1725952;0;0;1937;13211
7;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.06;0;13498520;44436;1730624;0;0;1965;13178
8;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13521220;44540;1735272;0;0;1939;13200
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13680436;44636;1740904;0;0;1775;13358
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13676516;44788;1746668;0;0;1773;13355
