run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;109;91.6;8;6,25;14,88;14,75;13,75;16,88;enp0s31f6;1684;1694
2;108;90.8;8;10,00;14,62;14,62;14,00;16,62;enp0s31f6;1658;1669
3;109;91.3;8;8,75;14,38;18,00;14,00;36,00;enp0s31f6;615;618
4;109;91.8;8;8,75;15,12;16,00;14,00;24,62;enp0s31f6;1256;1264
5;110;91.9;8;8,75;15,62;15,38;14,25;17,88;enp0s31f6;947;932
6;109;91.2;8;7,50;13,75;14,75;13,62;17,00;enp0s31f6;549;528
7;107;89.8;8;7,50;14,12;14,75;13,50;17,62;enp0s31f6;1953;1838
8;107;89.7;8;3,75;17,62;16,50;13,75;27,25;enp0s31f6;1453;1405
9;108;90.7;8;7,50;15,00;14,50;13,62;16,75;enp0s31f6;1468;1433
10;104;86.9;8;8,75;14,38;14,62;14,00;15,75;enp0s31f6;0;0
