run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;233;195;8;3,75;15,00;15,00;13,62;16,88;enp6s18;3638;4240
2;277;232;8;2,50;16,12;14,88;14,25;17,25;enp6s18;3819;4466
3;240;201;8;8,75;15,25;15,12;14,25;17,12;enp6s18;3687;4198
4;224;188;8;3,75;14,62;14,62;13,12;15,75;enp6s18;4868;5558
5;250;210;8;6,25;15,00;14,75;14,00;16,88;enp6s18;2231;2574
6;233;195;8;7,50;14,38;15,25;14,25;18,00;enp6s18;4574;5236
7;242;203;8;6,25;16,62;15,12;14,12;17,00;enp6s18;3929;4468
8;255;214;8;5,00;14,62;15,25;14,38;17,62;enp6s18;4807;5499
9;224;188;8;5,00;15,12;15,12;14,00;18,50;enp6s18;4117;4691
10;273;229;8;6,25;16,88;15,12;14,12;17,62;enp6s18;3542;4023
