run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;17364763454;6241176739;1273159574;67756102;1.00;10938.40;23486.00;8.00;3.40;88.20;0.00;0;86.90;0.58;0.63;0.40;1.00;1.00
2;17575177931;6325084745;1293391124;68220319;1.00;11739.20;21369.20;9.00;3.60;87.80;0.00;0;86.20;0.66;0.68;0.43;1.00;1.00
3;18126026133;6585818090;1356338648;70701114;3.40;12536.40;20714.60;8.20;3.80;88.00;0.00;0;87.08;0.59;0.67;0.44;3.40;1.00
4;19280508245;6881224394;1410473203;75233055;1.20;12715.00;21707.20;8.80;4.00;86.80;0.00;.03;85.69;0.67;0.70;0.46;1.20;1.00
5;18374577406;6579632679;1337337159;72344150;1.80;12809.80;20667.20;8.40;3.80;87.40;0.00;0;85.19;0.97;0.77;0.50;1.80;1.00
6;19568330467;6954096012;1429418582;73184461;1.80;12700.80;19779.20;7.60;3.80;88.60;0.00;0;86.77;0.66;0.75;0.51;1.80;1.20
7;19544970371;6962166305;1419598766;75404916;1.60;12448.20;19942.80;9.60;4.60;86.00;0.00;0;84.54;1.02;0.83;0.55;1.60;1.20
8;19032299235;6818097837;1382795796;75678102;3.00;14878.80;23619.40;10.00;4.80;85.20;0.00;0;87.09;1.03;0.86;0.58;3.00;1.00
9;19079471720;6751657721;1369312541;73493638;1.60;10983.60;19839.60;7.60;4.20;88.40;0.00;0;86.58;1.08;0.89;0.60;1.60;1.00
10;18939816331;6714748278;1378691935;75952363;1.00;12858.00;22172.20;9.20;4.20;86.80;0.00;0;86.62;0.87;0.88;0.62;1.00;1.00
