run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;21062516493;7942101418;1579338004;82448278;1.00;12685.20;28809.00;11.00;4.60;84.40;0.00;.03;84.45;0.57;0.86;0.96;1.00;1.00
2;21134870713;7780393288;1559043701;82348244;2.00;13676.80;29323.60;11.60;4.60;83.80;0.00;0;84.12;1.40;1.05;1.02;2.00;1.00
3;22254710973;8148222955;1638423788;84984355;3.60;13789.80;29140.40;11.40;4.60;84.00;0.00;0;82.64;1.10;1.02;1.01;3.60;1.00
4;22807364402;8532079345;1718811734;87660584;3.40;13944.20;29026.20;12.00;4.80;83.20;0.00;0;83.46;0.67;0.92;0.97;3.40;1.20
5;23020109947;8355161194;1681498144;88813032;1.00;14459.00;29552.20;11.80;5.20;82.80;0.00;0;83.71;2.16;1.28;1.09;1.00;1.00
6;21939380956;8191483828;1553630641;89286037;3.60;13957.00;28865.80;11.40;5.00;83.60;0.00;0;82.77;1.29;1.17;1.07;3.60;1.00
7;23031322016;8400161374;1655587874;91012443;1.80;15152.20;31408.80;12.60;5.00;82.60;0.00;0;83.94;1.81;1.32;1.12;1.80;1.40
8;22659143796;8194831058;1629558313;90512687;1.40;12935.80;24770.40;10.60;4.60;84.60;0.00;0;83.83;1.18;1.24;1.11;1.40;1.00
9;23723603906;8705414418;1728283472;93885038;1.40;15241.20;30563.40;11.80;5.40;82.80;0.00;0;84.11;0.66;1.08;1.06;1.40;1.40
10;23162028959;8428958910;1681916827;91699123;3.00;15827.20;29814.80;11.60;5.40;83.20;0.00;0;81.08;2.14;1.45;1.18;3.00;1.00
