run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;32396414829;37657207258;1174837689;229776167;2.20;3348.80;35056.60;12.80;19.00;68.00;0.00;.51;62.94;2.28;1.64;2.68;2.20;1.20
2;43684915287;41675669390;1483353679;261478284;3.00;7404.40;102061.40;13.40;18.40;67.60;0.00;.37;70.08;2.35;1.80;2.67;3.00;1.00
3;39873952146;39891999708;1315838176;232299442;3.40;8652.20;143751.40;15.20;19.20;65.00;0.00;.43;71.04;2.34;1.93;2.66;3.40;1.00
4;34340273097;37792143623;1151958276;198876514;2.40;7496.40;110381.40;13.00;19.00;67.60;0.00;.37;66.38;2.17;1.94;2.62;2.40;1.00
5;44503032837;42448738003;1530453742;259878783;2.60;5321.60;58341.60;11.20;18.20;69.80;0.00;.37;67.57;2.48;2.09;2.63;2.60;1.20
6;44180010191;42118766905;1495056684;260608745;4.00;7341.40;101158.60;13.00;18.60;68.20;0.00;.33;69.15;2.89;2.29;2.66;4.00;1.20
7;36598649853;38741812397;1275873431;214906679;5.60;8211.60;128111.20;14.80;19.40;65.60;0.00;.37;66.45;2.44;2.29;2.64;5.60;1.00
8;40971053963;42303887795;1433289568;236772258;3.60;5508.60;65433.80;11.60;18.20;69.60;0.00;.40;66.25;2.06;2.21;2.59;3.60;1.20
9;46544071843;42969968510;1629585275;278278860;3.80;4108.80;40719.40;13.00;18.20;68.60;0.00;.33;70.01;2.07;2.18;2.55;3.80;1.20
10;41628898641;41189214859;1397175030;251858385;4.00;8936.00;146008.20;16.00;19.80;64.00;0.00;.43;71.01;2.41;2.24;2.55;4.00;1.00
