run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;8602;8602;33.6;33.6;0.09976;0.00911284
2;8707;8707;34.0;34.0;0.10133;0.00835012
3;8707;8707;34.0;34.0;0.10005;0.00788776
4;8938;8938;34.9;34.9;0.09766;0.00739897
5;9235;9235;36.1;36.1;0.09513;0.00823049
6;8355;8355;32.6;32.6;0.10313;0.00926147
7;8791;8791;34.3;34.3;0.09859;0.00803486
8;8755;8755;34.2;34.2;0.09871;0.008066
9;8876;8876;34.7;34.7;0.0988;0.00783974
10;8263;8263;32.3;32.3;0.10338;0.00910264
