run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;109;91.7;8;10,00;14,75;15,00;14,00;18,00;enp0s31f6;1663;1606
2;107;89.8;8;8,75;14,38;15,00;13,75;18,00;enp0s31f6;1735;1656
3;105;88.0;8;11,25;15,00;23,12;14,38;57,88;enp0s31f6;3147;3100
4;107;90.1;8;8,75;14,50;14,88;13,88;18,38;enp0s31f6;1877;1906
5;109;91.2;8;7,50;16,12;15,12;13,88;18,12;enp0s31f6;1114;1111
6;108;90.8;8;8,75;14,62;14,62;14,00;16,00;enp0s31f6;1418;1404
7;108;90.4;8;8,75;15,50;15,00;14,25;17,50;enp0s31f6;1158;1151
8;109;91.2;8;8,75;14,62;14,88;14,00;18,00;enp0s31f6;1318;1299
9;109;91.2;8;7,50;14,38;14,50;14,12;16,12;enp0s31f6;1107;1094
10;111;93.2;8;7,50;14,50;15,12;14,00;17,00;enp0s31f6;0;0
