run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;7600;7600;29.7;29.7;0.11821;0.00799481
2;7578;7578;29.6;29.6;0.11563;0.00972653
3;7720;7720;30.2;30.2;0.1133;0.00855811
4;8833;8833;34.5;34.5;0.09866;0.00734995
5;7935;7935;31.0;31.0;0.11669;0.00540982
6;7935;7935;31.0;31.0;0.11667;0.00429617
7;8132;8132;31.8;31.8;0.11096;0
8;8163;8163;31.9;31.9;0.11179;0.00590863
9;8116;8116;31.7;31.7;0.11365;0.00578525
10;8731;8731;34.1;34.1;0.10795;0.00373791
