run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.09;0;13779124;44304;1690108;0;0;1731;13455
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13779184;44448;1696508;0;0;1726;13453
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.08;0;13709984;44556;1702404;0;0;1786;13388
4;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.21;0;13628664;44652;1708624;0;0;1861;13307
5;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.05;0;13751928;44804;1716496;0;0;1733;13428
6;0,000016;1;1024KiB;128MiB;128;0.0062;0.04;0.05;0.29;0;13730052;45060;1740648;0;0;1719;13418
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13682420;45208;1747700;0;0;1777;13353
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13861136;45376;1752836;0;0;1591;13533
9;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.07;0;13855832;45472;1758324;0;0;1591;13528
10;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.05;0.10;0;13652040;45664;1767968;0;0;1780;13330
