run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;104;86.9;8;7,50;16,12;15,00;14,12;18,00;enp0s31f6;1308;1316
2;110;92.3;8;3,75;16,12;14,62;14,00;16,50;enp0s31f6;1390;1369
3;110;92.1;8;7,50;14,38;14,50;13,62;15,38;enp0s31f6;1689;1665
4;109;91.1;8;7,50;15,38;15,38;14,25;17,75;enp0s31f6;1589;1578
5;109;91.5;8;7,50;15,75;15,12;13,88;17,00;enp0s31f6;1571;1588
6;109;91.1;8;7,50;14,62;14,62;14,00;16,38;enp0s31f6;1328;1351
7;109;91.7;8;5,00;15,12;14,88;14,12;16,88;enp0s31f6;2227;2238
8;110;91.9;8;6,25;14,38;15,75;13,50;25,88;enp0s31f6;1795;1820
9;109;91.4;8;5,00;14,50;15,25;14,00;20,00;enp0s31f6;1284;1264
10;113;95.2;8;5,00;15,50;14,62;14,00;16,75;enp0s31f6;0;0
