Method,Name,Error,Occurrences
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 7'),14
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),736
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 3'),435
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),672
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),424
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),402
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),396
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),429
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 1'),44
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),389
GET,/Pedidos/5925,HTTPError('500 Server Error: Internal Server Error for url: /Pedidos/5925'),10
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),416
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 11'),34
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),402
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 3'),23
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),405
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),587
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),422
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),407
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),658
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 11'),409
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 3'),426
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 9'),422
GET,/Categorias,HTTPError('500 Server Error: Internal Server Error for url: /Categorias'),20
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 7'),693
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 1'),438
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 10'),612
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 13'),470
GET,/Mesas,HTTPError('500 Server Error: Internal Server Error for url: /Mesas'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 8'),459
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 1'),447
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 12'),441
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 2'),393
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 13'),436
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 5'),26
