Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/Categorias,14152,837,11,15.368418329668755,0.31239999225363135,1055.7114999974146,115.72533917467496,19.464234326620765,1.1511845768358946,11,13,16,18,27,46,73,100,220,380,1100
GET,/Mesas,3621,213,12,15.598371223119226,0.35559997195377946,200.45550004579127,1008.9674123170395,4.980214280433422,0.292953781201966,12,14,17,19,28,43,66,88,160,200,200
GET,/Pedidos/5925,10787,637,12,16.196064818863306,0.31939998734742403,1024.6466000098735,338.74107722258276,14.836114731575622,0.8761106038763021,12,15,17,19,27,44,71,92,210,1000,1000
GET,/Productos,14152,0,9,12.619009602968674,2.8294000076130033,243.03919996600598,750.0,19.464234326620765,0.0,9,11,13,15,22,29,47,62,130,240,240
PUT,Abrir Mesa,14151,0,15,18.099495880023923,5.085500015411526,268.51239998359233,165.35368525192567,19.46285895675597,0.0,15,17,20,22,29,39,56,82,210,270,270
POST,Agregar Item,35409,215,14,16.509043133235146,4.6517999726347625,395.86579997558147,104.86768900562004,48.70047154263106,0.29570452093156196,14,16,18,20,26,38,55,74,150,250,400
PUT,Cerrar Mesa,14146,46,13,16.05875673675869,5.094200023449957,232.18459996860474,60.082426127527214,19.45598210743198,0.06326701378070627,13,16,18,19,24,36,52,70,150,230,230
,Aggregated,106418,1948,12,15.928964844329045,0.31239999225363135,1055.7114999974146,248.66396662218798,146.36411027206958,2.679220496626431,12,16,18,19,26,39,58,80,160,300,1100
