run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0047;0.03;0.04;0.08;0;15439964;34256;459472;0;0;759;15077
2;0,000000;1;1024KiB;128MiB;128;0.0051;0.04;0.04;0.07;0;15441404;34304;459552;0;0;756;15080
3;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.05;0;15450996;34344;459524;0;0;749;15087
4;0,000000;1;1024KiB;128MiB;128;0.0050;0.04;0.04;0.08;0;15441060;34400;459524;0;0;760;15076
5;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.08;0;15438504;34448;459516;0;0;760;15076
6;0,000000;1;1024KiB;128MiB;128;0.0047;0.03;0.04;0.07;0;15436176;34496;459532;0;0;752;15084
7;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.08;0;15434896;34536;459552;0;0;763;15072
8;0,000000;1;1024KiB;128MiB;128;0.0048;0.04;0.04;0.05;0;15436320;34576;459544;0;0;763;15073
9;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.05;0;15448472;34648;459492;0;0;750;15085
10;0,000000;1;1024KiB;128MiB;128;0.0047;0.03;0.03;0.07;0;15450200;34688;459536;0;0;749;15086
