run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;14006656;40320;1526296;0;0;1648;13692
2;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.31;0;13931024;40424;1530792;0;0;1718;13617
3;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.07;0;13878912;40520;1535296;0;0;1769;13561
4;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;14037712;40744;1558928;0;0;1622;13685
5;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.06;0;13718360;40960;1582084;0;0;1897;13388
6;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.31;0;13585068;41112;1588676;0;0;1996;13283
7;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13983712;41320;1597500;0;0;1633;13638
8;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;13699796;41432;1605488;0;0;1913;13352
9;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;13593372;41656;1614004;0;0;1958;13299
10;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;13532868;41704;1614048;0;0;2054;13203
