run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;61853066013;82393186993;1819150968;500540788;5.60;4415.00;65761.60;21.20;23.80;55.00;0.00;.06;51.81;4.46;4.01;3.21;5.60;1.80
2;59483371863;79435257693;1723358159;468699591;11.80;4246.60;66092.20;20.40;23.60;55.80;0.00;.03;50.27;6.44;4.54;3.43;11.80;1.00
3;57539269242;77194900056;1640458100;449355464;14.20;4144.40;63734.60;20.80;23.20;55.80;0.00;.03;50.05;7.22;5.01;3.66;14.20;1.60
4;61971794574;82701843139;1811098678;498312652;13.20;4430.40;70888.60;22.40;25.00;52.40;0.00;.20;50.60;5.94;4.97;3.73;13.20;1.60
5;60033724911;80011123009;1739716484;471326127;16.80;4280.20;65334.40;21.80;24.20;53.80;0.00;.06;46.48;4.66;4.79;3.74;16.80;1.60
6;58474838555;77740319336;1682780724;461465749;3.80;4410.20;70704.60;21.40;23.80;54.80;0.00;.10;51.29;5.34;4.93;3.86;3.80;1.80
7;57786615173;77173707087;1650793272;454024880;2.80;4296.40;63671.20;20.40;23.60;55.80;0.00;.06;49.42;6.48;5.24;4.03;2.80;1.40
8;57559545767;76897425976;1647105235;449990391;7.80;4374.80;71934.80;23.00;25.40;51.00;0.00;.06;49.96;5.12;5.15;4.08;7.80;2.20
9;60398326248;79941329043;1761873893;483383031;6.00;4610.20;74381.40;23.60;25.40;50.60;0.00;.10;50.89;6.37;5.64;4.32;6.00;2.40
10;61345589360;81679529781;1790014212;491653789;4.60;4381.60;68974.60;20.80;24.80;54.40;0.00;.10;47.66;5.46;5.65;4.42;4.60;1.40
