run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.05;0.09;0;13170440;64240;1764188;0;0;2227;12861
2;0,000016;1;1024KiB;128MiB;128;0.0073;0.04;0.05;0.32;0;13237172;64336;1765676;0;0;2160;12926
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.08;0;13232004;64432;1767156;0;0;2164;12921
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.12;0;13213908;64576;1768896;0;0;2179;12904
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13216056;64688;1770396;0;0;2176;12905
6;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.07;0;13229796;64792;1771900;0;0;2161;12919
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13243616;64888;1773380;0;0;2147;12932
8;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.10;0;13238752;64984;1774900;0;0;2149;12928
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.09;0;13227804;65136;1776704;0;0;2158;12917
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13242372;65268;1777924;0;0;2142;12932
