run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;12042430374;4359590145;863965468;44644036;1.00;6845.40;14649.00;5.20;2.00;92.60;0.00;0;90.48;0.14;0.29;0.19;1.00;1.00
2;12420007969;4444901550;898423015;44555873;1.00;7993.40;14849.40;5.60;2.80;91.40;0.00;0;91.07;0.06;0.24;0.18;1.00;1.00
3;12424187168;4526726337;919761397;45265160;1.00;8105.20;15622.20;6.20;2.80;91.20;0.00;0;90.77;0.59;0.37;0.22;1.00;1.00
4;11709124544;4250696834;846487934;43876540;2.00;7101.20;13251.20;5.40;2.00;92.20;0.00;0;91.25;0.94;0.48;0.27;2.00;1.20
5;11759214383;4163900488;840845156;41473867;2.40;7874.60;14775.80;5.80;2.40;92.20;0.00;0;91.44;0.45;0.42;0.26;2.40;1.20
6;11891947209;4251171968;851439934;45130155;4.00;8456.80;15864.60;6.40;2.60;90.40;0.00;0;90.55;0.48;0.44;0.27;4.00;1.20
7;11638207051;4195165302;849187254;44121882;1.00;8335.80;17151.20;5.60;2.80;91.20;0.00;0;90.87;0.52;0.45;0.28;1.00;1.00
8;12225377586;4434327971;882726172;46647595;3.00;5600.20;12132.00;4.60;2.20;93.60;0.00;0;90.51;0.21;0.37;0.27;3.00;1.00
9;12556098821;4424397845;878123596;46911491;1.40;7128.80;15125.40;5.60;2.40;91.60;0.00;0;89.66;0.36;0.40;0.28;1.40;1.20
10;12322607936;4373970406;884835537;46707945;1.20;6467.80;11721.40;4.40;2.00;93.60;0.00;0;90.82;0.54;0.44;0.30;1.20;1.40
