run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;93.2;78.2;8;8,75;16,12;15,50;14,50;16,88;enp0s31f6;442;528
2;111;93.2;8;8,75;15,25;15,12;14,25;17,38;enp0s31f6;443;516
3;111;93.2;8;7,50;14,75;15,12;14,50;16,12;enp0s31f6;478;569
4;110;92.0;8;7,50;14,88;15,25;14,62;17,00;enp0s31f6;701;809
5;110;92.5;8;12,50;17,25;15,12;14,62;17,88;enp0s31f6;597;689
6;111;93.1;8;8,75;15,00;15,38;14,38;17,62;enp0s31f6;412;483
7;108;91.0;8;6,25;20,62;16,75;14,62;24,75;enp0s31f6;526;600
8;107;89.9;8;7,50;14,88;15,00;14,62;15,88;enp0s31f6;410;477
9;111;93.3;8;10,00;14,75;15,00;14,50;16,12;enp0s31f6;534;605
10;110;92.4;8;7,50;14,88;15,88;14,38;18,00;enp0s31f6;435;529
