run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;35.7;29.9;8;6,25;14,88;15,25;14,50;17,75;enp0s31f6;623;691
2;36.3;30.4;8;7,50;15,12;15,75;14,50;19,38;enp0s31f6;524;602
3;111;93.1;8;5,00;16,00;15,12;14,50;16,75;enp0s31f6;461;524
4;112;94.0;8;10,00;15,62;15,38;14,50;16,88;enp0s31f6;577;657
5;111;93.4;8;8,75;15,00;15,25;14,50;16,88;enp0s31f6;408;488
6;112;93.6;8;6,25;14,88;15,25;14,50;17,88;enp0s31f6;643;713
7;91.8;77.0;8;6,25;17,00;15,12;14,38;17,75;enp0s31f6;565;635
8;112;93.7;8;5,00;14,88;15,12;14,50;16,62;enp0s31f6;913;966
9;111;93.3;8;10,00;15,12;15,25;14,50;16,62;enp0s31f6;583;678
10;112;94.2;8;6,25;15,12;15,12;14,50;16,75;enp0s31f6;481;565
