run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;40220340961;40137652623;1298757432;239462314;4.20;7699.80;118799.20;12.20;18.40;69.40;0.00;.33;65.40;1.92;1.92;1.91;4.20;1.00
2;41942440316;41133427126;1375016653;247258645;5.00;7674.40;115153.40;12.40;18.40;68.80;0.00;.26;69.00;1.70;1.86;1.89;5.00;1.00
3;39819721253;40532638545;1264841598;233274595;2.40;7307.60;108380.60;11.40;18.40;69.80;0.00;.30;68.26;2.02;1.93;1.91;2.40;1.00
4;40488521630;40833561546;1294387845;240772950;2.40;7297.60;113571.00;11.00;18.20;70.20;0.00;.27;68.50;2.84;2.22;2.02;2.40;1.20
5;41378393822;40765338083;1382467915;242909772;2.80;6939.40;91669.00;12.20;18.20;69.40;0.00;.33;68.89;2.22;2.15;2.00;2.80;1.00
6;41743601220;41228775140;1360279182;249641784;5.00;6913.40;93662.40;10.20;18.60;71.00;0.00;.24;68.82;1.84;2.06;1.98;5.00;1.20
7;39219700115;40070665480;1234350455;225638667;5.80;7760.80;122988.00;12.20;18.60;69.00;0.00;.27;68.75;2.02;2.06;1.99;5.80;1.00
8;39825020757;40790977576;1288415237;230790668;3.20;6886.80;95624.20;10.40;18.20;70.80;0.00;.27;70.45;2.20;2.12;2.02;3.20;1.00
9;38438656643;39834826710;1186991962;223882541;3.00;7538.20;114962.20;11.40;18.00;69.80;0.00;.30;68.40;2.20;2.15;2.03;3.00;1.00
10;38977228631;40227640323;1229347997;224369409;3.80;7445.00;114070.20;12.00;18.80;69.20;0.00;.33;67.88;2.06;2.11;2.02;3.80;1.20
