Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/Categorias,110582,4,19,51.8500056265873,3.6179000162519515,4590.1384000026155,122.9997829664864,138.44760269495586,0.005007961610206213,19,25,33,48,100,180,400,620,1800,2900,4600
GET,/Mesas,27697,1,20,52.51692921974716,3.9720000058878213,4599.801699980162,1820.7188143120193,34.67637817947037,0.0012519904025515532,20,25,33,47,100,170,400,610,2000,2900,4600
GET,/Pedidos/5925,82849,3,20,53.917128436070364,4.577799991238862,3159.041300008539,359.98696423614047,103.72615286099364,0.00375597120765466,20,26,35,50,100,180,410,630,1900,2900,3200
GET,/Productos,110582,0,20,50.20237274328514,4.262400005245581,4600.965700024972,754.0,138.44760269495586,0.0,20,26,35,51,100,170,380,530,1000,2900,4600
PUT,Abrir Mesa,110580,49,27,92.15193881712304,7.264800020493567,16959.442899998976,166.2671097847712,138.44509871415076,0.061347529725026106,27,36,49,66,120,220,530,1200,7300,13000,17000
POST,Agregar Item,276172,11958,28,72.11417216046434,5.789200018625706,6552.653300022939,106.76255739177034,345.76469345346754,14.971301233711474,28,36,48,64,110,200,450,840,3400,6500,6600
PUT,Cerrar Mesa,110522,4481,28,73.2437809585848,6.682300008833408,17109.79590000352,58.78749932140207,138.37248327080277,5.61016899383351,28,37,48,63,110,190,420,820,4200,15000,17000
,Aggregated,828984,16496,25,66.83823014038671,3.6179000162519515,17109.79590000352,279.37976728139506,1037.8800118687968,20.65283368049042,25,33,44,59,110,190,430,770,3300,9300,17000
