run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;109;91.6;8;6,25;14,25;14,88;13,38;21,00;enp0s31f6;525;582
2;106;89.3;8;5,00;14,50;14,88;13,62;18,25;enp0s31f6;479;522
3;112;94.3;8;6,25;14,25;14,75;13,25;16,88;enp0s31f6;511;599
4;108;90.7;8;6,25;14,12;14,00;13,00;14,75;enp0s31f6;481;527
5;107;89.9;8;3,75;14,25;14,38;13,38;15,50;enp0s31f6;592;671
6;109;91.7;8;6,25;14,50;14,75;14,00;17,38;enp0s31f6;610;673
7;103;86.5;8;6,25;14,75;14,62;13,62;15,75;enp0s31f6;575;616
8;110;92.5;8;11,25;14,25;14,62;13,62;16,75;enp0s31f6;569;604
9;106;89.1;8;11,25;14,38;14,50;13,88;15,62;enp0s31f6;744;812
10;111;93.4;8;8,75;14,50;15,00;13,50;17,25;enp0s31f6;633;705
