run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg
1;11840239721;14419768285;395332717;70850221;2,00;771,40;5713,20;3,00;6,20;90,80;0,00
2;11164175984;13527261464;362267431;67590926;1,00;772,60;5615,80;2,60;6,60;90,80;0,00
3;12576082334;14957622808;407705379;74022930;1,00;789,80;5768,60;2,80;6,40;90,80;0,00
4;12973883595;15668801559;419339660;76793708;1,00;792,80;5121,00;2,80;6,40;90,60;0,00
5;12290662851;14656995443;400609055;72798118;1,00;847,20;5367,40;3,00;7,00;90,00;0,00
6;11616706533;14091404692;371195421;68529737;1,00;909,60;5426,40;3,00;7,40;89,40;0,00
7;12170938746;14899246594;390129039;72570125;1,00;801,00;5775,00;3,40;7,00;89,60;0,00
8;11656730803;14151603560;367823215;69305075;1,00;801,80;5532,00;3,00;6,40;90,20;0,00
9;11914071303;14534243989;376684693;71483297;1,00;795,40;5570,80;2,80;6,80;90,20;0,00
10;12146853219;14722760065;387465938;72229182;1,00;801,80;5501,20;2,80;6,40;90,20;0,00
11;12264294130;14985322202;393818528;73834723;1,00;815,00;5507,00;3,60;6,80;89,80;0,00
12;12337042456;15357937142;387602964;73364211;2,60;863,80;5373,00;3,00;6,60;90,20;0,00
13;11506250469;14215460144;351201620;66142959;4,20;882,20;6341,20;3,60;7,40;89,00;0,00
14;12640914608;15477572753;406365629;74494124;1,00;884,20;5670,20;3,20;6,80;90,00;0,00
15;12926112518;16045970547;414776718;77739513;2,20;878,60;6025,60;3,20;6,60;90,20;0,00
16;12495338903;15797072009;371842602;71863772;1,40;807,40;5145,80;3,40;6,40;90,00;0,00
17;11789013455;15071151158;350064080;68655144;3,60;903,60;6785,00;3,60;7,00;88,80;0,00
18;12859331977;15912556663;422730508;78382211;2,00;858,20;5393,60;3,40;6,60;89,60;0,00
19;13613694205;17317325850;438957220;82047186;1,00;846,40;5524,80;3,20;6,60;90,00;0,00
20;12875256650;16186584992;410517894;76526515;1,20;881,40;5430,20;3,20;7,00;89,40;0,00
