run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;9741;9741;38,1;38,1;0,09191;0,00650653
2;9922;9922;38,8;38,8;0,09059;0,00627084
3;9763;9763;38,1;38,1;0,09163;0,00653923
4;9861;9861;38,5;38,5;0,09091;0,00645189
5;9778;9778;38,2;38,2;0,09164;0,00637661
6;9846;9846;38,5;38,5;0,09133;0,00598152
7;9667;9667;37,8;37,8;0,09244;0,00674887
8;9922;9922;38,8;38,8;0,09073;0,00599634
9;9861;9861;38,5;38,5;0,09141;0,00587498
10;10;10;39,1;39,1;0,08986;0,00593963
11;9674;9674;37,8;37,8;0,09233;0,00659976
12;10,1;10,1;39,3;39,3;0,09012;0,00567102
13;9793;9793;38,3;38,3;0,09125;0,00654244
14;9748;9748;38,1;38,1;0,0922;0,00620972
15;9653;9653;37,7;37,7;0,09274;0,00650998
16;9084;9084;35,5;35,5;0,10007;0,00610631
17;9953;9953;38,9;38,9;0,09049;0,00600391
18;9602;9602;37,5;37,5;0,09132;0,00653705
19;9711;9711;37,9;37,9;0,09244;0,0066656
20;9552;9552;37,3;37,3;0,09356;0,00683841
