run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;9968;9968;38.9;38.9;0.09111;0.00627683
2;9275;9275;36.2;36.2;0.09395;0.0072468
3;8654;8654;33.8;33.8;0.10317;0.0078813
4;8683;8683;33.9;33.9;0.10216;0.00791077
5;9090;9090;35.5;35.5;0.09828;0.00722814
6;9559;9559;37.3;37.3;0.09374;0.0066308
7;8596;8596;33.6;33.6;0.10317;0.00809543
8;8876;8876;34.7;34.7;0.09985;0.00814083
9;8454;8454;33.0;33.0;0.10406;0.00875674
10;9033;9033;35.3;35.3;0.09665;0.0086858
11;9155;9155;35.8;35.8;0.09614;0.00821676
12;9058;9058;35.4;35.4;0.09705;0.00812779
13;8888;8888;34.7;34.7;0.10118;0.00685661
14;9411;9411;36.8;36.8;0.09494;0.0070023
15;9631;9631;37.6;37.6;0.09225;0.00722419
16;8864;8864;34.6;34.6;0.09966;0.00709431
17;8876;8876;34.7;34.7;0.09868;0.00830675
18;8982;8982;35.1;35.1;0.09823;0.00842465
19;9261;9261;36.2;36.2;0.09504;0.00806098
20;8654;8654;33.8;33.8;0.10264;0.00804299
