run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;113;94,4;8;8,75;14,88;14,88;14,38;15,88;enp0s31f6;63;60
2;113;94,9;8;7,5;15,88;16,12;14,5;20,12;enp0s31f6;5;1
3;112;94,3;8;6,25;15,5;14,75;13,5;16,12;enp0s31f6;33;31
4;110;92,5;8;3,75;15,12;15,75;14,25;19,25;enp0s31f6;32;30
5;113;94,4;8;6,25;14,75;15,12;14,25;17,88;enp0s31f6;29;27
6;112;94,4;8;6,25;14,88;15,12;14,25;16,25;enp0s31f6;13;12
7;112;94,1;8;7,5;14,75;15,12;14,12;17;enp0s31f6;24;21
8;112;94,4;8;6,25;14,75;14,75;14,5;15,25;enp0s31f6;137;131
9;113;94,7;8;7,5;15;15,12;14,38;16,62;enp0s31f6;73;71
10;113;94,7;8;7,5;15,12;15,38;13,75;17,38;enp0s31f6;19;18
11;90,8;76,2;8;5;14,88;15,12;13,75;17,62;enp0s31f6;75;74
12;112;94,1;8;8,75;14,75;15;14,12;16,25;enp0s31f6;150;137
13;113;94,7;8;6,25;15;14,88;14,5;15,75;enp0s31f6;57;53
14;113;94,7;8;3,75;14,75;15,25;14;18,12;enp0s31f6;44;41
15;113;94,4;8;7,5;15,75;15,12;14,12;16,62;enp0s31f6;46;43
16;112;94,2;8;6,25;14,75;15,38;13,38;18,38;enp0s31f6;51;47
17;113;94,7;8;8,75;15,88;15,12;14,12;17;enp0s31f6;59;54
18;113;95,1;8;6,25;15,75;15,25;14,12;17,12;enp0s31f6;20;18
19;112;94,2;8;3,75;14,75;15,12;14,25;18;enp0s31f6;25;23
20;112;94;8;7,5;14,75;14,75;13,5;15,38;enp0s31f6;13;12
