run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg
1;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;15458608;18632;369116;0;0
2;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;15260304;18984;506316;0;0
3;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.07;0;15297824;19072;507812;0;0
4;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;15361728;19152;508764;0;0
5;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.08;0;15357508;19244;510164;0;0
6;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;15352072;19380;511216;0;0
7;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.06;0;15382092;19464;512828;0;0
8;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;15357560;19552;513588;0;0
9;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.08;0;15354908;19640;514324;0;0
10;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;15343668;19728;515536;0;0
11;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;15357264;19848;516940;0;0
12;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.09;0;15357464;19956;517780;0;0
13;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;15338488;20036;518424;0;0
14;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.08;0;15355240;20124;519176;0;0
15;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;15340640;20204;519932;0;0
16;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.05;0;15346480;20284;520584;0;0
17;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.08;0;15349300;20432;522300;0;0
18;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.09;0;15351304;20512;523276;0;0
19;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;15349744;20592;523976;0;0
20;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;15336760;20684;524828;0;0
