run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;18175351316;10122099751;1683608604;237463121;1.00;3311.40;20170.00;26.40;9.40;64.20;0.00;.39;64.93;0.24;1.77;2.63;1.00;1.80
2;18360556517;13000361562;1647870376;235012606;3.20;3758.20;22272.60;33.20;11.20;55.00;0.00;.33;54.83;2.61;2.13;2.67;3.20;4.20
3;20497167661;16727111256;1675277022;247910124;6.60;3426.20;20818.00;32.60;10.00;57.00;0.00;.36;56.56;4.17;2.81;2.87;6.60;2.20
4;21765758817;18904240943;1735876198;263010414;2.20;3398.60;20833.20;32.40;10.60;57.00;0.00;.43;54.85;3.79;2.95;2.91;2.20;3.20
5;20833231524;20024298072;1631768770;249052766;4.60;3593.20;20976.20;35.00;10.60;53.80;0.00;.36;55.83;5.19;3.69;3.18;4.60;3.60
6;22039158164;23819717394;1601204980;250153587;9.00;3884.20;24377.40;36.20;10.00;53.40;0.00;.36;57.73;2.92;3.38;3.12;9.00;3.20
7;24107165689;26234512445;1743956250;274328809;1.60;3325.00;21241.40;32.60;9.00;58.20;0.00;.26;53.85;6.08;4.22;3.44;1.60;1.80
8;24552543903;29454953818;1687887853;276820638;3.20;3129.20;19382.60;31.80;8.00;60.20;0.00;.29;54.49;4.98;4.13;3.46;3.20;3.60
9;25603100807;32149320360;1696103958;279628167;9.00;3387.20;20237.00;32.60;8.00;59.20;0.00;.26;56.17;5.22;4.40;3.62;9.00;5.00
10;35680008;10879427;4122973;133223;1.00;265.60;1179.80;6.40;1.60;92.00;0.00;0;99.96;2.16;3.71;3.45;1.00;1.00
