run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13663936;28008;1328588;0;0;2189;13343
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13681148;28112;1330448;0;0;2170;13360
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13641980;28208;1332196;0;0;2211;13318
4;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13632768;28356;1333964;0;0;2220;13307
5;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.07;0;13608500;28496;1335564;0;0;2237;13289
6;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.12;0;13575428;28600;1337000;0;0;2272;13253
7;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13545432;28696;1338792;0;0;2295;13227
8;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;13557964;28800;1340408;0;0;2285;13236
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13505028;28952;1342124;0;0;2331;13188
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13512060;29048;1343876;0;0;2323;13195
