run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;110;92.3;8;6,25;15,25;15,25;14,75;18,38;enp0s31f6;337;314
2;99.9;83.8;8;2,50;15,38;15,25;14,25;16,75;enp0s31f6;313;296
3;112;93.8;8;5,00;15,88;15,38;14,50;19,25;enp0s31f6;105;97
4;112;94.1;8;3,75;15,62;15,25;14,75;18,00;enp0s31f6;111;104
5;112;94.0;8;7,50;15,00;15,25;14,88;16,75;enp0s31f6;803;766
6;112;93.6;8;3,75;15,25;15,25;14,50;18,25;enp0s31f6;86;80
7;112;93.6;8;12,50;15,00;15,38;14,75;17,50;enp0s31f6;258;244
8;112;93.8;8;8,75;15,12;15,12;14,75;16,38;enp0s31f6;422;397
9;112;94.1;8;5,00;19,00;16,38;14,75;20,12;enp0s31f6;408;388
10;111;93.4;8;8,75;15,12;15,00;14,75;16,00;enp0s31f6;0;0
