run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;41602775992;41043057649;1356141024;246305536;4.20;7529.20;112051.20;10.80;19.40;69.60;0.00;.58;67.47;2.02;2.63;2.28;4.20;1.20
2;38720700052;39790691015;1219466200;221620188;2.80;7335.80;108908.80;10.40;19.60;69.80;0.00;.26;67.09;2.02;2.56;2.29;2.80;1.20
3;40270876947;40588782740;1281418661;232945926;2.60;7264.40;105621.40;10.60;19.60;69.60;0.00;.30;68.49;1.94;2.42;2.25;2.60;1.00
4;38852758637;40191631801;1224504216;221562827;2.80;6746.60;91125.00;9.80;19.00;71.00;0.00;.23;69.60;1.80;2.29;2.23;2.80;1.20
5;39685178882;40426552135;1249116317;228243418;3.00;7087.60;100585.40;10.60;19.60;69.80;0.00;.37;67.99;2.01;2.28;2.23;3.00;1.00
6;40640195112;40736910720;1315816068;239631970;4.60;8050.80;125886.40;11.80;19.80;68.40;0.00;.37;67.51;1.89;2.21;2.21;4.60;1.20
7;40754265271;40871102587;1330798158;235829906;3.60;7132.20;101387.40;11.00;19.40;69.40;0.00;.30;69.28;1.66;2.11;2.17;3.60;1.00
8;41505647026;41492024075;1342614633;242033847;2.80;7419.40;110102.60;10.20;19.40;70.00;0.00;.30;69.29;2.09;2.16;2.19;2.80;1.40
9;41404459213;41218795837;1326369813;242954623;3.20;7401.80;111112.80;11.00;19.40;69.40;0.00;.27;69.45;2.48;2.24;2.21;3.20;1.20
10;40158619244;40553255703;1273177750;229477921;2.60;7669.20;119722.00;10.80;19.60;69.20;0.00;.30;67.68;2.42;2.33;2.25;2.60;1.40
