run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;81024370285;100349941223;2775683051;741940773;20.60;4751.40;82134.00;42.60;34.20;23.60;0.00;.06;27.76;3.72;2.87;3.63;20.60;3.60
2;61610829081;82563910274;1792168723;493397697;6.80;4374.60;70364.80;20.80;24.00;55.20;0.00;.16;49.84;2.97;2.82;3.56;6.80;1.60
3;62216038894;83484754559;1823909425;501353678;3.40;4340.40;66310.60;21.40;24.20;54.40;0.00;.06;48.25;7.81;3.98;3.90;3.40;1.20
4;58678238775;78347246300;1690923304;462890615;4.80;4172.40;66399.60;22.20;24.80;53.40;0.00;.06;47.66;4.63;3.80;3.85;4.80;2.20
5;23141975905;13871494762;2068615171;301055970;9.80;4673.40;27206.00;32.40;11.60;55.60;0.00;.59;43.71;5.68;4.41;4.06;9.80;1.60
6;28927542622;21761863345;2511109663;372037077;5.60;4556.20;32247.00;34.80;13.40;51.00;0.00;.70;42.01;5.78;4.71;4.19;5.60;1.80
7;32392791711;27016241619;2577974376;384739295;4.00;4472.60;31587.60;35.40;12.80;51.00;0.00;.69;37.20;3.24;4.12;4.02;4.00;2.20
8;35399868179;33223957273;2667766299;399185007;4.00;4821.60;37801.20;39.80;13.20;46.40;0.00;.69;41.97;5.56;4.62;4.20;4.00;4.00
9;35334918226;36070610427;2633652203;406799560;6.40;4510.40;32131.20;40.80;13.00;46.00;0.00;.63;36.19;4.56;4.52;4.19;6.40;2.80
10;38634170019;43805936211;2751370042;437614319;7.40;5175.00;33965.60;44.20;13.80;41.40;0.00;.56;33.90;5.82;4.97;4.37;7.40;3.80
