run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;30510889194;19225534080;2642951918;377352336;4.40;6926.80;40637.20;47.40;14.80;37.60;0.00;1.00;40.08;3.75;4.58;4.91;4.40;2.60
2;30371259271;25004941122;2453308846;363073685;7.40;5214.20;37542.40;43.00;12.40;44.20;0.00;.70;45.79;4.95;4.69;4.91;7.40;2.20
3;32921992930;31941727205;2500086668;375935072;3.80;4879.20;36148.40;43.40;12.00;44.40;0.00;.63;39.28;4.94;4.70;4.89;3.80;4.80
4;44618034976;47707701042;3233279848;504994283;7.20;6358.80;43797.80;49.60;14.20;35.40;0.00;.56;39.28;4.82;4.72;4.89;7.20;2.40
5;38370005057;45492909206;2608924810;417176166;5.20;4503.60;31319.80;42.60;10.40;46.40;0.00;.63;39.96;4.85;4.76;4.89;5.20;4.00
6;43708913000;56562443018;2798858299;456252157;6.20;4487.00;34131.40;42.00;10.80;46.00;0.00;.63;41.96;5.77;4.93;4.93;6.20;4.80
7;40236699563;51418428422;2585778488;419101038;8.40;5102.40;43040.60;46.60;10.80;41.80;0.00;1.62;36.10;7.77;5.80;5.24;8.40;2.40
8;44697508617;61531638352;2634777079;459978853;8.60;4575.60;36945.60;47.20;10.40;41.80;0.00;.60;41.92;5.32;5.50;5.18;8.60;2.80
9;45568980452;66674946138;2648400472;462512580;8.00;5005.40;42851.60;48.80;10.80;39.80;0.00;.70;35.84;6.71;5.92;5.35;8.00;4.00
10;46380304696;70313260577;2613804789;469136869;6.00;4532.40;37099.60;44.80;10.40;44.20;0.00;.63;39.50;6.55;5.80;5.34;6.00;3.40
