run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;109;91.4;8;15,00;14,62;14,62;14,12;15,75;enp0s31f6;1371;1391
2;109;91.7;8;10,00;14,75;14,75;14,00;16,50;enp0s31f6;898;892
3;108;90.7;8;12,50;14,38;14,75;14,00;16,50;enp0s31f6;919;932
4;109;91.2;8;12,50;14,75;16,12;14,12;26,50;enp0s31f6;1747;1729
5;108;90.4;8;11,25;16,88;15,38;14,00;18,25;enp0s31f6;2663;2643
6;107;90.1;8;12,50;14,25;14,62;14,00;16,50;enp0s31f6;1321;1348
7;109;91.2;8;11,25;15,12;14,50;13,38;16,50;enp0s31f6;757;756
8;108;90.5;8;15,00;14,88;15,12;14,00;18,25;enp0s31f6;1011;1018
9;109;91.3;8;18,75;15,25;15,88;14,75;17,88;enp0s31f6;923;937
10;109;91.4;8;13,75;12,12;12,50;11,38;14,50;enp0s31f6;0;0
