run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;111;93,2;8;10;14,62;14,88;14,25;15,38;enp0s31f6;736;713
2;110;92;8;7,5;14,75;15,5;14,25;17,88;enp0s31f6;610;554
3;112;93,6;8;11,25;14,75;15,88;14,25;20,62;enp0s31f6;759;705
4;112;93,9;8;8,75;14,75;15,38;14,38;18;enp0s31f6;719;657
5;112;93,6;8;8,75;17,88;15,38;14,25;20,38;enp0s31f6;913;826
6;111;93,5;8;8,75;17,12;16;14,5;22,5;enp0s31f6;710;622
7;113;94,4;8;11,25;14,75;14,88;14,5;16,88;enp0s31f6;575;522
8;111;93,3;8;11,25;16,62;15,75;14,25;17,88;enp0s31f6;551;499
9;112;93,5;8;10;14,62;15,38;14,25;18,75;enp0s31f6;644;591
10;112;93,8;8;6,25;15,5;15,12;14,25;18,5;enp0s31f6;918;766
11;112;94;8;1,25;14,75;15,25;14,62;19,5;enp0s31f6;843;784
12;111;93,2;8;8,75;15,38;15,25;14,38;18;enp0s31f6;737;652
13;111;93,4;8;7,5;15,25;15,62;14,5;19,62;enp0s31f6;682;609
14;112;93,6;8;5;15,38;15,5;14,12;17,75;enp0s31f6;587;522
15;112;93,6;8;3,75;14,75;15;14,38;17,5;enp0s31f6;761;684
16;112;93,9;8;7,5;17,12;15,38;14,25;17,25;enp0s31f6;743;684
17;113;94,5;8;3,75;14,88;15;14,38;17,25;enp0s31f6;710;620
18;112;93,6;8;6,25;16,12;16,12;14,5;18,62;enp0s31f6;722;648
19;111;93,3;8;3,75;14,88;15,38;14,5;19,25;enp0s31f6;692;626
20;112;93,8;8;5;14,88;15,38;14,62;18;enp0s31f6;655;550
