run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;10.9;10.9;42.7;42.7;0.08674;0.00262508
2;10.7;10.7;41.8;41.8;0.08858;0.00265005
3;11.3;11.3;44.3;44.3;0.08318;0.00276549
4;10.9;10.9;42.6;42.6;0.08663;0.00286062
5;11.4;11.4;44.5;44.5;0.08248;0.00266597
6;11.3;11.3;44.0;44.0;0.08396;0.00260258
7;11.3;11.3;44.1;44.1;0.0839;0.00260956
8;10.7;10.7;41.6;41.6;0.08768;0.00270648
9;11.1;11.1;43.2;43.2;0.08544;0.00266826
10;11.0;11.0;43.0;43.0;0.08594;0.00264228
11;11.6;11.6;45.3;45.3;0.08141;0.00258144
12;10.9;10.9;42.7;42.7;0.0866;0.00272158
13;11.2;11.2;43.6;43.6;0.08439;0.00261228
14;11.5;11.5;44.8;44.8;0.08244;0.00259151
15;11.2;11.2;43.8;43.8;0.08368;0.00268179
16;10.3;10.3;40.2;40.2;0.09243;0.00270286
17;11.4;11.4;44.5;44.5;0.083;0.00269073
18;11.9;11.9;46.3;46.3;0.07964;0.00255501
19;10.9;10.9;42.7;42.7;0.08598;0.00328024
20;10.7;10.7;41.9;41.9;0.08679;0.00293299
