run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg
1;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14494904;33236;673564;0;0
2;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14431880;33456;674760;0;0
3;0,000016;1;1024KiB;128MiB;128;0,0075;0,04;0,06;1,7;0;14535948;33600;676292;0;0
4;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14451476;33680;678000;0;0
5;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,07;0;14490380;33768;679412;0;0
6;0,000016;1;1024KiB;128MiB;128;0,0059;0,04;0,04;0,07;0;14446248;33848;680616;0;0
7;0,000016;1;1024KiB;128MiB;128;0,0062;0,04;0,05;0,48;0;14442244;33936;681916;0;0
8;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14507816;34080;683520;0;0
9;0,000016;1;1024KiB;128MiB;128;0,0067;0,04;0,05;0,96;0;14557088;34212;684516;0;0
10;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14473488;34292;685948;0;0
11;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,06;0;14444540;34372;687300;0;0
12;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,06;0;14403672;34452;688908;0;0
13;0,000016;1;1024KiB;128MiB;128;0,0062;0,04;0,04;0,08;0;14446712;34532;690224;0;0
14;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;14394868;34668;691776;0;0
15;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14459784;34772;693256;0;0
16;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14531048;34860;694456;0;0
17;0,000016;1;1024KiB;128MiB;128;0,006;0,04;0,04;0,08;0;14447460;34940;695832;0;0
18;0,000016;1;1024KiB;128MiB;128;0,0066;0,04;0,05;0,8;0;14447056;35020;697640;0;0
19;0,000016;1;1024KiB;128MiB;128;0,0088;0,04;0,05;0,74;0;14441984;35100;698940;0;0
20;0,000016;1;1024KiB;128MiB;128;0,0071;0,04;0,05;0,89;0;14407672;35228;700376;0;0
