run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13805664;33616;1772780;0;0;1644;13471
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13654744;33772;1779296;0;0;1774;13335
3;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.04;0;13661092;33920;1785352;0;0;1763;13340
4;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.07;0;13633968;34024;1792156;0;0;1796;13300
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13552656;34124;1797724;0;0;1858;13234
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13540988;34228;1802716;0;0;1901;13185
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13408684;34444;1825368;0;0;1965;13099
8;0,000016;1;1024KiB;128MiB;128;0.0065;0.04;0.05;0.12;0;13212292;34636;1835760;0;0;1597;13456
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13699240;34788;1843068;0;0;1671;13375
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13603044;34924;1847652;0;0;1759;13284
