Method,Name,Error,Occurrences
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 7'),396
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),549
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 3'),423
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),615
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),399
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),426
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),401
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),444
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 1'),376
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),364
GET,/Pedidos/5925,HTTPError('500 Server Error: Internal Server Error for url: /Pedidos/5925'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),424
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 11'),393
GET,/Mesas,RemoteDisconnected('Remote end closed connection without response'),615
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),393
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 3'),404
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),371
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),578
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),409
GET,/Pedidos/5925,RemoteDisconnected('Remote end closed connection without response'),1888
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),392
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),563
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 11'),432
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 3'),375
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 9'),436
GET,/Categorias,HTTPError('500 Server Error: Internal Server Error for url: /Categorias'),5
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 7'),575
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 1'),361
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 10'),616
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 13'),435
GET,/Mesas,HTTPError('500 Server Error: Internal Server Error for url: /Mesas'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 8'),438
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 1'),383
