run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg
1;33055907028;37766723283;1274593667;219414922;2,80;3673,20;29383,20;5,20;15,20;79,00;0,00
2;28635340274;35607724661;1002399836;178831446;2,40;2365,00;14641,80;4,20;15,40;80,20;0,00
3;27992228291;35404761825;942058243;175975037;2,00;2260,00;12566,40;4,40;15,20;80,20;0,00
4;35845055835;47831400584;1215404564;244194530;4,20;2182,20;12136,80;4,00;15,20;80,80;0,00
5;28516146087;35718708363;983104644;180514328;3,00;2252,20;12699,40;4,40;15,20;80,00;0,00
6;28611569929;35997924053;972317377;180476302;2,40;2306,80;14130,60;4,40;15,40;80,20;0,00
7;28320521637;36004475782;958309654;177767129;2,00;2278,60;12368,00;4,40;14,80;80,20;0,00
8;27722104078;35593923081;901428508;170278088;7,60;2238,20;11316,00;7,00;16,20;76,20;0,00
9;27430397794;35817397406;862439621;169352451;2,20;2257,60;11949,60;5,40;15,20;78,80;0,00
10;27987407615;35705595782;915242605;172304572;2,60;2371,00;14728,80;5,60;15,20;78,60;0,00
11;28182210464;35594837827;948114265;174350831;15,20;2490,40;15069,80;14,60;19,40;65,80;0,00
12;31969576541;41843810471;1067559744;207815627;15,00;2433,60;14238,80;14,60;18,80;65,80;0,00
13;28255100313;35972737424;930669155;175651488;2,80;2271,20;12481,60;4,80;15,20;80,00;0,00
14;27827225138;35816111601;903765831;172290202;2,20;2222,00;11255,40;5,00;15,40;79,60;0,00
15;28294491190;36124991662;943177617;174547950;4,00;2415,40;13788,40;8,40;16,40;75,00;0,00
16;28589942911;36510392208;964919853;180330582;2,20;2348,80;13741,20;5,80;15,40;78,60;0,00
17;28621792830;36854885082;943241242;179891147;2,00;2250,40;12121,20;5,80;15,40;78,20;0,00
18;29238067019;36876736893;1018353278;189932540;3,60;2352,60;12599,40;5,60;15,20;78,60;0,00
19;28388824593;36615302038;946611682;179425842;3,00;2374,20;12487,20;5,20;15,40;79,20;0,00
20;48623879788;69722392093;1606420462;354172293;2,00;2149,60;9976,20;5,00;15,80;79,00;0,00
