run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg
1;0,000016;1;1024KiB;128MiB;128;0,0059;0,04;0,04;0,14;0;14802880;28532;617580;0;0
2;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,08;0;14740272;28616;619680;0;0
3;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14737468;28752;621240;0;0
4;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14652344;28860;622724;0;0
5;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,07;0;14650800;28944;624676;0;0
6;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14635080;29024;626808;0;0
7;0,000016;1;1024KiB;128MiB;128;0,0059;0,04;0,04;0,09;0;14646804;29104;628048;0;0
8;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;14681764;29184;630572;0;0
9;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;14572964;29324;632256;0;0
10;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14630168;29428;633548;0;0
11;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14590988;29508;634820;0;0
12;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14627316;29596;636220;0;0
13;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14604444;29676;637436;0;0
14;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,04;0;14621088;29756;638680;0;0
15;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14652616;29884;640160;0;0
16;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14645224;29996;641268;0;0
17;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,07;0;14577044;30076;642540;0;0
18;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,07;0;14598744;30156;643776;0;0
19;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14642936;30236;645836;0;0
20;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;14636244;30316;647036;0;0
