run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;11,4;11,4;44,4;44,4;0,08307;0,00259806
2;11,6;11,6;45,4;45,4;0,08132;0,0026125
3;11,8;11,8;46;46;0,08032;0,00255927
4;11,4;11,4;44,7;44,7;0,08253;0,00264029
5;10,8;10,8;42,1;42,1;0,08766;0,00270373
6;11,6;11,6;45,5;45,5;0,08115;0,00261168
7;11,8;11,8;46;46;0,08017;0,0025636
8;10,4;10,4;40,5;40,5;0,0916;0,0025942
9;11,8;11,8;46,1;46,1;0,07985;0,00259042
10;11,9;11,9;46,3;46,3;0,07966;0,00260144
11;11,8;11,8;46,1;46,1;0,07989;0,0026347
12;11,7;11,7;45,8;45,8;0,08057;0,00259749
13;11,8;11,8;46,2;46,2;0,07972;0,00268574
14;11,8;11,8;46,2;46,2;0,07991;0,00262384
15;11,8;11,8;46,1;46,1;0,08007;0,0025894
16;12;12;46,8;46,8;0,0789;0,00256256
17;12;12;46,8;46,8;0,07876;0,00256611
18;11,9;11,9;46,3;46,3;0,0795;0,00259483
19;11,9;11,9;46,5;46,5;0,07942;0,00256531
20;11,9;11,9;46,6;46,6;0,07934;0,00255588
