run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;44593832825;16121374997;3160044995;170634779;1.60;28636.00;60698.20;21.80;9.80;68.60;0.00;0;66.21;2.28;2.03;1.94;1.60;1.20
2;47503721578;17003453781;3355948247;184384977;1.80;29410.60;61361.20;21.20;9.60;69.20;0.00;0;65.63;2.45;2.11;1.97;1.80;1.20
3;46768156439;16880652481;3334536955;189985769;3.80;29666.60;57922.80;22.00;9.80;68.20;0.00;0;65.15;2.93;2.28;2.03;3.80;1.20
4;43609956849;16472916287;3066355531;187766484;5.20;25200.40;55896.20;21.20;8.40;70.60;0.00;0;66.21;3.37;2.46;2.11;5.20;1.00
5;47572515244;17363528557;3372388165;201404812;4.20;28570.80;58607.00;21.20;10.20;68.80;0.00;0;64.84;3.20;2.52;2.14;4.20;1.00
6;47726467469;17156137188;3369939609;202740750;6.40;29817.60;62617.60;22.80;10.20;67.00;0.00;0;64.55;2.63;2.49;2.16;6.40;1.20
7;48092601562;17421019522;3376054748;205616922;4.00;29793.20;58199.20;22.40;10.20;67.60;0.00;0;64.06;2.80;2.57;2.20;4.00;1.60
8;47132796283;16918536373;3252327804;201660847;2.80;27010.80;64796.40;21.60;9.20;69.00;0.00;0;63.80;3.03;2.67;2.26;2.80;1.20
9;46460817337;16740381590;3237715231;198838512;2.60;28829.80;58253.00;21.40;10.40;68.40;0.00;0;64.66;2.37;2.56;2.24;2.60;1.40
10;44155770651;16402432996;3019530027;194473999;2.20;25440.20;57146.80;20.40;9.40;70.60;0.00;0;66.99;2.52;2.54;2.26;2.20;1.20
