run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;46202481157;43070343499;1614902429;282877352;4.00;7712.20;117048.40;12.00;19.40;68.40;0.00;.30;69.11;1.32;1.91;1.57;4.00;1.40
2;41280120844;41066707595;1339328232;245194391;7.00;7390.60;113054.00;10.60;19.20;69.80;0.00;.24;66.49;1.94;1.99;1.62;7.00;1.00
3;41669566122;41133211003;1350502556;246861259;3.80;7552.60;112507.00;11.20;19.00;69.40;0.00;.33;67.95;2.24;2.10;1.69;3.80;1.20
4;41464820361;41260728505;1363004320;247940457;2.40;7218.60;104726.60;10.20;18.60;70.80;0.00;.40;68.88;1.87;2.01;1.68;2.40;1.20
5;42429613895;41829766755;1378965133;257459148;6.00;7605.20;113610.60;10.20;18.80;70.40;0.00;.26;69.98;1.87;2.01;1.71;6.00;1.20
6;39074781010;40001412124;1247886002;234738501;4.00;7105.20;101647.00;9.80;19.00;70.80;0.00;.30;66.73;1.84;1.97;1.71;4.00;1.00
7;42961240765;41996744510;1411358711;248936389;3.00;6952.80;98925.00;10.00;19.40;70.40;0.00;.26;67.57;2.22;2.08;1.77;3.00;1.20
8;43424380397;42240286706;1461689733;257520790;4.20;7387.20;102204.20;10.00;19.40;70.40;0.00;.26;67.91;2.21;2.12;1.80;4.20;1.20
9;39463974866;40355658943;1262350505;225661720;6.20;7563.40;109036.60;10.80;19.20;69.60;0.00;.34;68.30;1.88;2.11;1.83;6.20;1.20
10;40496812886;40935088531;1290699975;232302400;2.00;8211.20;129313.00;12.40;19.60;68.00;0.00;.26;69.15;2.23;2.23;1.91;2.00;1.80
