run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;111;93.2;8;7,50;14,38;15,00;14,12;16,38;enp0s31f6;519;613
2;109;91.8;8;6,25;14,25;14,88;13,88;16,75;enp0s31f6;756;849
3;112;93.8;8;8,75;14,25;14,62;14,00;16,12;enp0s31f6;453;521
4;112;93.6;8;6,25;15,50;14,88;13,62;17,00;enp0s31f6;476;546
5;112;93.7;8;6,25;14,38;14,50;13,38;15,75;enp0s31f6;600;691
6;112;94.3;8;7,50;15,12;14,62;13,62;15,50;enp0s31f6;744;830
7;101;85.0;8;6,25;14,62;15,12;13,50;17,12;enp0s31f6;539;629
8;108;90.8;8;6,25;14,62;14,88;13,75;16,75;enp0s31f6;632;732
9;108;90.7;8;7,50;14,25;15,75;13,75;22,12;enp0s31f6;523;577
10;104;87.4;8;7,50;15,75;14,88;13,50;17,00;enp0s31f6;630;713
