run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;214;179;8;3,75;18,25;16,25;14,00;20,25;enp6s18;2899;3329
2;233;196;8;8,75;15,75;16,50;14,25;30,50;enp6s18;3745;4285
3;214;180;8;8,75;14,75;14,75;14,00;16,00;enp6s18;4733;5390
4;197;165;8;6,25;15,38;15,12;14,25;21,25;enp6s18;4210;4896
5;221;185;8;8,75;15,00;15,00;14,38;17,25;enp6s18;3921;4540
6;220;185;8;5,00;14,62;15,25;14,38;19,00;enp6s18;3644;4259
7;190;160;8;6,25;15,38;15,38;14,38;19,25;enp6s18;3943;4485
8;218;183;8;3,75;14,50;15,12;14,25;18,38;enp6s18;2539;2875
9;215;180;8;8,75;18,00;15,25;14,25;20,62;enp6s18;3682;4226
10;224;188;8;6,25;14,62;16,12;14,25;21,12;enp6s18;4142;4723
