run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;33288609579;37541728426;1235921227;223896467;2.40;2841.40;26623.80;9.20;18.60;71.80;0.00;.50;63.12;1.80;1.44;1.01;2.40;1.00
2;45195201484;42327106882;1555652114;265805095;2.20;5289.20;63045.80;10.20;18.80;70.40;0.00;.23;72.45;2.24;1.70;1.13;2.20;1.00
3;39949933767;39771704891;1347891481;231361248;2.40;9252.40;150212.00;13.80;19.60;66.20;0.00;.46;71.17;2.70;1.90;1.23;2.40;1.20
4;36036975533;38718097096;1195645714;204531379;2.00;6900.20;98854.20;9.80;19.20;70.80;0.00;.34;66.07;2.89;2.09;1.34;2.00;1.00
5;42378958331;41482954021;1444560153;245605578;3.00;6212.60;75464.60;9.40;18.80;71.40;0.00;.34;67.32;2.64;2.15;1.41;3.00;1.40
6;41387885582;40474256264;1395812733;240049717;5.00;8354.80;130121.80;12.40;19.80;67.60;0.00;.43;70.47;2.01;2.06;1.42;5.00;1.00
7;35300801984;38108275980;1131214359;194695471;3.40;7712.20;122479.80;11.00;19.60;68.80;0.00;.37;66.43;2.82;2.39;1.59;3.40;1.00
8;42100167156;42042647023;1445213803;244286505;2.40;5408.80;65187.60;8.80;18.80;72.20;0.00;.37;66.20;2.35;2.33;1.62;2.40;1.00
9;43580674968;41962504293;1463343770;254934195;2.80;7395.20;109309.80;11.00;19.20;69.40;0.00;.37;69.45;2.53;2.38;1.68;2.80;1.20
10;41693267264;40832276725;1411413824;244985662;4.20;8710.00;138760.40;12.60;20.40;67.00;0.00;.40;69.92;2.23;2.34;1.72;4.20;1.00
