run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;108;90.9;8;11,25;14,62;15,00;13,50;16,62;enp0s31f6;640;621
2;110;92.6;8;13,75;15,25;14,75;13,75;16,50;enp0s31f6;679;636
3;108;90.5;8;8,75;13,88;14,38;13,25;16,12;enp0s31f6;949;922
4;107;89.5;8;22,50;14,38;14,62;14,25;16,50;enp0s31f6;1433;1380
5;105;87.9;8;16,25;14,25;14,75;13,75;16,88;enp0s31f6;746;690
6;107;89.6;8;17,50;14,88;14,38;13,62;15,50;enp0s31f6;1253;1183
7;106;89.1;8;15,00;14,75;15,50;13,62;18,00;enp0s31f6;908;895
8;110;92.4;8;16,25;14,25;15,00;13,50;17,25;enp0s31f6;258;241
9;111;93.4;8;10,00;13,88;14,75;13,38;17,50;enp0s31f6;0;0
10;108;90.8;8;17,50;14,25;14,38;13,50;15,62;enp0s31f6;0;0
