run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;40253059012;40416211868;1293757107;232770502;2.40;6644.00;96046.80;9.00;18.20;72.40;0.00;.37;66.66;2.05;4.41;4.42;2.40;1.60
2;41753966089;41345987664;1379999439;243128753;4.00;7109.40;110213.20;10.60;18.40;71.00;0.00;.30;67.94;2.04;3.99;4.28;4.00;1.00
3;39807278407;40592357412;1265903271;229027083;2.40;6894.80;97693.80;10.00;18.20;71.60;0.00;.30;68.44;2.40;3.76;4.18;2.40;1.20
4;41698538788;41350296782;1349879736;242882500;2.00;7446.00;123353.20;11.00;18.00;71.20;0.00;.26;68.94;2.14;3.43;4.04;2.00;1.20
5;41525214345;41216137934;1336218687;242530108;4.00;7194.80;114801.60;10.80;18.00;70.80;0.00;.30;68.82;2.16;3.19;3.91;4.00;1.20
6;40648537095;41472008583;1310675834;233979813;3.20;5837.80;65915.60;9.20;17.60;73.00;0.00;.33;69.24;2.64;3.16;3.86;3.20;1.00
7;42100242857;41498239509;1374273339;248139896;5.40;7551.80;123478.20;10.80;18.40;70.20;0.00;.27;69.79;2.57;3.04;3.77;5.40;1.20
8;40709664394;41491855925;1281219599;238572455;2.20;6933.40;106817.40;10.20;18.20;71.20;0.00;.27;68.76;2.68;3.05;3.73;2.20;1.20
9;41455553901;41538829577;1331407297;242188892;2.00;7438.40;107130.20;10.80;18.80;70.20;0.00;.30;69.98;2.89;3.06;3.69;2.00;1.00
10;41030406990;41054086136;1310247153;238547620;2.40;6951.40;106654.40;10.40;18.20;70.60;0.00;.26;68.78;2.74;2.96;3.61;2.40;1.40
