run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;11289440147;10144841054;673251412;106469647;1.00;1323.60;6560.40;5.80;2.60;91.80;0.00;.20;83.45;0.20;0.05;0.02;1.00;1.20
2;6389324528;3480234516;600041131;79795541;1.40;1526.20;6780.20;11.80;5.00;83.40;0.00;.19;82.80;0.21;0.09;0.03;1.40;1.40
3;6305992125;3608452323;596450795;76535240;2.20;1508.40;7820.80;11.60;4.80;83.20;0.00;.23;78.47;1.34;0.56;0.21;2.20;1.20
4;6971884635;4467580448;620860105;82090118;2.40;1803.20;9188.00;15.80;5.80;78.20;0.00;.19;77.77;2.06;1.03;0.41;2.40;1.20
5;7428446486;4596711288;658198500;87243667;1.00;956.40;4846.20;6.00;2.60;90.80;0.00;.26;83.64;1.10;1.02;0.47;1.00;1.20
6;7203658145;4991340901;640625273;84477936;1.00;1197.00;5369.60;10.40;4.60;84.80;0.00;.19;82.35;1.06;1.00;0.49;1.00;1.00
7;7987284622;5385987361;672852078;86060961;1.80;1483.20;6895.40;12.20;4.40;83.40;0.00;.23;80.52;1.55;1.25;0.63;1.80;1.20
8;7787188998;6595242754;671890940;91840959;4.20;1484.00;6924.60;13.80;5.00;81.40;0.00;.19;76.86;1.69;1.39;0.75;4.20;1.20
9;7896173338;6401748068;628856184;80785445;3.40;1922.40;8636.00;19.60;6.40;73.40;0.00;.26;74.79;1.64;1.42;0.82;3.40;1.20
10;27351712;7582421;3129963;97317;1.00;148.60;301.60;2.20;0.60;97.00;0.00;0;99.93;0.72;1.24;0.82;1.00;1.00
