run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;14779504;18512;937892;0;0;1442;14459
2;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;14750196;19148;1076660;0;0;1363;14403
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;14688508;19292;1083004;0;0;1417;14344
4;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;14696364;19492;1089656;0;0;1339;14415
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14732772;19628;1089944;0;0;1367;14387
6;0,000016;1;1024KiB;128MiB;128;0.0062;0.04;0.05;0.08;0;14613292;19772;1096248;0;0;1467;14281
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14618700;19916;1102296;0;0;1467;14275
8;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;14699896;20568;1110040;0;0;1381;14354
9;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.09;0;14700780;20728;1100880;0;0;1389;14356
10;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;14698772;20776;1100744;0;0;1391;14354
