run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;93.9;8;6,25;15,62;15,62;14,50;18,75;enp0s31f6;572;539
2;113;94.6;8;6,25;16,12;16,25;14,88;21,12;enp0s31f6;575;538
3;112;94.1;8;2,50;15,00;15,25;14,50;17,00;enp0s31f6;60;47
4;112;93.9;8;8,75;15,00;15,00;14,75;15,62;enp0s31f6;451;428
5;112;94.0;8;3,75;15,00;15,12;14,88;16,88;enp0s31f6;272;253
6;112;93.9;8;6,25;15,38;15,25;14,62;17,75;enp0s31f6;510;479
7;111;93.4;8;5,00;15,12;15,12;14,38;17,12;enp0s31f6;515;488
8;112;94.0;8;8,75;15,12;15,25;14,50;17,88;enp0s31f6;287;266
9;113;94.9;8;6,25;15,12;15,50;14,62;20,12;enp0s31f6;0;0
10;113;94.7;8;8,75;15,25;15,12;14,50;17,75;enp0s31f6;0;0
