run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;111;93.2;8;3,75;14,62;15,50;14,12;18,38;enp0s31f6;630;604
2;111;92.9;8;6,25;14,50;14,62;14,12;16,12;enp0s31f6;951;914
3;111;93.1;8;6,25;14,38;14,88;14,12;16,12;enp0s31f6;322;303
4;111;93.0;8;10,00;16,00;15,12;14,00;16,75;enp0s31f6;506;508
5;111;93.2;8;8,75;14,25;14,75;14,12;17,50;enp0s31f6;549;532
6;111;93.2;8;6,25;16,75;14,75;13,88;17,88;enp0s31f6;501;467
7;94.9;79.6;8;8,75;15,88;14,88;13,88;17,00;enp0s31f6;541;530
8;111;93.3;8;8,75;14,38;14,62;14,00;17,12;enp0s31f6;542;500
9;113;94.8;8;8,75;14,50;14,88;14,25;15,88;enp0s31f6;0;0
10;113;94.6;8;10,00;14,50;14,62;14,38;15,75;enp0s31f6;0;0
