run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;42552815485;28220774390;3695891970;557862829;6.60;5513.00;36207.20;45.60;14.40;39.40;0.00;.79;38.65;6.94;6.59;6.16;6.60;2.20
2;30430372572;23938726295;2543473072;366714384;7.60;4768.60;33301.00;41.00;13.00;45.20;0.00;.63;39.10;4.58;5.91;5.95;7.60;2.40
3;32605545174;29061845338;2540314566;379268023;6.00;4904.20;32132.60;43.00;11.40;44.60;0.00;.60;39.93;4.89;5.67;5.86;6.00;1.80
4;33120637111;32603873247;2479217460;377732724;5.60;4876.80;38938.60;41.80;12.40;45.00;0.00;.59;41.00;6.53;6.00;5.96;5.60;4.00
5;36376785174;39644258110;2490419058;396639301;8.20;3514.80;26469.00;30.80;8.60;60.00;0.00;.63;53.89;4.69;5.57;5.81;8.20;1.80
6;40925290740;49773195364;2652113335;453058464;4.80;5015.20;41687.80;43.20;10.40;46.00;0.00;.62;43.17;7.57;6.46;6.12;4.80;4.00
7;42698051233;55450846993;2646215586;468612770;10.60;5370.00;43699.00;48.00;11.00;40.20;0.00;.66;40.50;5.43;6.35;6.13;10.60;5.80
8;45539643702;58378303446;2836493730;500459411;12.20;5016.80;40647.60;45.40;10.40;43.20;0.00;.50;42.02;6.80;6.43;6.16;12.20;2.40
9;44192118276;62126060162;2572123295;456725699;4.80;4664.20;36924.00;46.20;9.60;43.60;0.00;.56;42.16;7.90;6.66;6.25;4.80;3.00
10;41068858742;53554876596;2609078797;442134567;11.20;4624.80;33546.20;44.60;10.20;45.00;0.00;.56;45.76;5.13;6.06;6.07;11.20;6.00
