run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;28939340186;16172340256;2672241170;382490066;13.20;5353.40;34843.20;35.60;14.00;49.80;0.00;.53;44.50;2.50;4.01;4.00;13.20;3.20
2;29006281999;17900816623;2578143328;368707398;5.00;5381.80;37318.60;37.40;14.00;48.20;0.00;.73;45.94;4.10;4.17;4.06;5.00;2.00
3;33740506044;28661907622;2647573601;396308579;3.20;5101.00;38786.00;39.80;13.20;46.40;0.00;.63;44.43;4.31;4.25;4.10;3.20;1.80
4;32912450859;29770750503;2542567321;387896304;3.40;5204.40;37549.80;42.00;13.40;43.60;0.00;.66;40.85;4.33;4.27;4.11;3.40;3.20
5;34187990683;34875745218;2526158417;387357791;5.80;4404.60;32529.80;36.80;12.60;49.80;0.00;.63;38.92;6.15;4.95;4.37;5.80;3.00
6;41638687562;48905027914;2821714006;447587903;4.20;5018.00;40548.00;39.80;12.40;47.00;0.00;.63;44.70;4.94;4.76;4.34;4.20;2.40
7;36636105717;41391288977;2534718234;404583088;4.40;4549.20;34507.40;38.80;11.80;48.60;0.00;.52;38.22;6.97;5.45;4.61;4.40;3.80
8;42994360860;55795454096;2759611684;468655218;10.60;6065.40;45317.20;44.60;11.60;43.00;0.00;.33;36.43;6.60;5.63;4.73;10.60;3.40
9;42896126525;59755665909;2590771819;442937043;5.20;4884.20;36789.20;43.40;12.40;43.60;0.00;.62;39.65;4.95;5.39;4.73;5.20;4.00
10;43827235782;65775439762;2486403706;435010018;4.40;4939.40;42251.00;44.40;10.60;44.40;0.00;.53;34.26;6.52;5.67;4.89;4.40;3.80
