run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;94.0;8;8,75;15,00;15,25;14,38;17,62;enp0s31f6;575;579
2;102;85.7;8;7,50;17,00;15,88;14,25;18,50;enp0s31f6;506;532
3;109;91.4;8;7,50;15,00;15,75;14,75;19,12;enp0s31f6;629;669
4;103;86.3;8;5,00;15,88;15,62;14,50;18,25;enp0s31f6;772;747
5;108;90.5;8;5,00;15,50;15,38;14,50;18,62;enp0s31f6;589;581
6;107;89.6;8;5,00;15,00;15,00;14,50;16,88;enp0s31f6;538;540
7;104;87.2;8;7,50;15,25;14,88;14,50;15,75;enp0s31f6;620;596
8;107;90.1;8;3,75;14,75;15,00;14,75;16,25;enp0s31f6;631;663
9;111;92.9;8;5,00;15,00;15,38;14,62;18,25;enp0s31f6;636;633
10;106;89.1;8;5,00;16,00;15,25;14,62;16,50;enp0s31f6;626;634
