run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;43137898243;30716966010;3587504555;546087318;10.80;6589.20;34711.40;45.40;14.00;40.00;0.00;.56;34.35;7.33;6.98;6.15;10.80;6.00
2;30808960256;24103192146;2562330848;377539818;7.20;4753.40;30610.20;41.40;13.80;44.00;0.00;.66;31.34;5.95;6.69;6.10;7.20;3.20
3;48596469788;48388494517;3564933850;579801163;4.60;4918.00;32611.80;44.00;14.00;41.00;0.00;.45;34.77;10.73;7.82;6.53;4.60;2.40
4;34377723828;32884210336;2599412826;395573039;15.00;4863.20;34149.00;46.20;12.00;41.20;0.00;.29;35.10;5.76;7.02;6.36;15.00;6.20
5;47136393712;53528285882;3208557853;519808427;4.00;6692.20;41641.80;50.20;12.60;36.60;0.00;.56;42.68;8.56;7.59;6.60;4.00;3.00
6;50013828521;60187512300;3283428922;543777937;23.80;6278.60;36826.60;54.80;12.80;32.20;0.00;.43;40.38;13.79;9.05;7.16;23.80;21.00
7;46565543614;54532838860;3150387497;515575169;6.60;4434.20;36726.60;38.40;9.60;51.40;0.00;.60;46.31;13.83;9.82;7.55;6.60;1.80
8;42334691252;56239819853;2565955243;450466906;6.00;3939.40;33028.40;41.20;9.80;48.60;0.00;.56;47.70;5.50;8.32;7.24;6.00;3.00
9;44446979970;60422586903;2683771739;460980773;6.60;4088.40;32075.40;43.00;9.40;47.00;0.00;.53;43.63;8.43;8.60;7.41;6.60;3.20
10;48568592712;72598660622;2722853745;488575872;7.00;4959.40;41316.00;50.20;10.00;39.20;0.00;.63;39.70;5.81;7.62;7.17;7.00;4.80
