run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;107;90.0;8;6,25;14,25;14,25;13,38;15,12;enp0s31f6;553;628
2;110;92.7;8;11,25;14,50;14,75;13,12;16,88;enp0s31f6;577;650
3;108;90.6;8;7,50;15,00;14,75;13,38;16,88;enp0s31f6;743;851
4;102;85.5;8;10,00;14,12;14,88;13,25;17,38;enp0s31f6;651;747
5;109;91.6;8;11,25;14,25;14,38;13,38;14,88;enp0s31f6;617;702
6;107;89.6;8;5,00;14,38;14,50;13,00;17,38;enp0s31f6;550;642
7;110;91.9;8;7,50;14,12;14,50;13,50;16,12;enp0s31f6;519;613
8;109;91.1;8;6,25;14,12;14,62;13,75;16,38;enp0s31f6;781;821
9;102;85.6;8;3,75;14,38;15,12;13,50;16,88;enp0s31f6;453;519
10;109;91.7;8;7,50;14,38;14,38;13,62;15,88;enp0s31f6;541;618
