run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13228320;61200;1724232;0;0;2212;12918
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.08;0;13276672;61352;1726048;0;0;2162;12965
3;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.07;0;13262192;61464;1727604;0;0;2175;12951
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13269660;61568;1729132;0;0;2166;12958
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13265852;61664;1730608;0;0;2170;12952
6;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13256040;61808;1732320;0;0;2165;12956
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13270760;61928;1733588;0;0;2161;12959
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13282244;62024;1735084;0;0;2148;12970
9;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.06;0;13274012;62128;1736564;0;0;2154;12962
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13258348;62224;1738088;0;0;2168;12947
