run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;93.8;8;10,00;15,00;15,88;14,62;20,50;enp0s31f6;549;621
2;110;92.6;8;10,00;15,62;15,38;14,50;18,75;enp0s31f6;703;811
3;86.0;72.1;8;5,00;14,75;15,62;14,50;19,12;enp0s31f6;559;661
4;111;93.3;8;5,00;14,62;15,25;14,38;18,50;enp0s31f6;600;687
5;112;93.7;8;3,75;14,88;15,00;14,62;16,00;enp0s31f6;590;677
6;112;93.9;8;3,75;15,12;15,25;14,50;16,88;enp0s31f6;537;621
7;113;94.4;8;5,00;17,25;15,62;14,50;19,38;enp0s31f6;579;669
8;112;93.7;8;3,75;15,38;15,00;14,50;16,75;enp0s31f6;595;695
9;112;93.6;8;3,75;14,75;15,25;14,25;18,38;enp0s31f6;618;706
10;108;90.5;8;7,50;14,62;15,25;14,50;17,12;enp0s31f6;469;554
