run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;108;90.8;8;11,25;14,38;15,50;13,75;19,62;enp0s31f6;708;661
2;108;90.2;8;10,00;15,38;15,00;13,88;17,50;enp0s31f6;1382;1423
3;105;88.0;8;11,25;14,00;15,12;13,25;18,62;enp0s31f6;2041;2021
4;109;91.3;8;10,00;14,62;14,75;13,62;17,12;enp0s31f6;978;979
5;104;87.5;8;8,75;14,25;14,75;13,88;16,25;enp0s31f6;1041;984
6;78.5;65.8;8;10,00;17,25;16,50;13,38;22,75;enp0s31f6;4414;4657
7;105;88.2;8;8,75;14,00;14,62;13,38;16,50;enp0s31f6;1766;1807
8;83.5;70.0;8;6,25;17,88;15,62;13,62;19,75;enp0s31f6;1427;1291
9;104;87.0;8;10,00;15,38;15,50;14,12;18,25;enp0s31f6;4596;4540
10;107;89.5;8;7,50;16,50;15,25;13,12;18,25;enp0s31f6;0;0
