run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13292380;59668;1703628;0;0;2173;12977
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.08;0;13295764;59788;1705184;0;0;2168;12980
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13305180;59884;1706668;0;0;2155;12993
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13314860;59980;1708196;0;0;2146;13000
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13295512;60124;1709880;0;0;2161;12983
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13242476;60252;1711508;0;0;2211;12931
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13246720;60348;1713096;0;0;2205;12936
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13221808;60444;1714580;0;0;2236;12903
9;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13204484;60548;1716080;0;0;2243;12895
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13190672;60692;1717788;0;0;2255;12881
